"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 19 10:58:00 GMT 2024","Fri Jul 19 10:58:01 GMT 2024","954","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:10 GMT 2024","Fri Jul 19 10:58:11 GMT 2024","917","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:08 GMT 2024","Fri Jul 19 10:58:09 GMT 2024","944","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:14 GMT 2024","Fri Jul 19 10:58:15 GMT 2024","912","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:11 GMT 2024","Fri Jul 19 10:58:13 GMT 2024","1642","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:57:59 GMT 2024","Fri Jul 19 10:58:00 GMT 2024","928","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:05 GMT 2024","Fri Jul 19 10:58:06 GMT 2024","931","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:11 GMT 2024","Fri Jul 19 10:58:11 GMT 2024","164","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:57:56 GMT 2024","Fri Jul 19 10:57:58 GMT 2024","2057","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:06 GMT 2024","Fri Jul 19 10:58:08 GMT 2024","1661","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:06 GMT 2024","Fri Jul 19 10:58:06 GMT 2024","162","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:02 GMT 2024","Fri Jul 19 10:58:03 GMT 2024","1662","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:13 GMT 2024","Fri Jul 19 10:58:14 GMT 2024","917","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:04 GMT 2024","Fri Jul 19 10:58:05 GMT 2024","929","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:16 GMT 2024","Fri Jul 19 10:58:16 GMT 2024","158","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
"passed","Fri Jul 19 10:58:01 GMT 2024","Fri Jul 19 10:58:01 GMT 2024","177","Operation 36 form web testing","Successful data entering testing","qa.okay.tests.Operation36FormTest","qa.okay.tests.Operation36FormTest","verifySuccessfulDataEnteringTest","verifySuccessfulDataEnteringTest","Successful data entering test"
